,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
0,Chennai Super Kings,Kolkata Knight Riders,131.0,133.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai
1,Mumbai Indians,Delhi Capitals,177.0,179.0,Delhi Capitals,Field,Capitals,4 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai
2,Royal Challengers Bangalore,Punjab Kings,205.0,208.0,Punjab Kings,Field,Punjab,5 wickets,Odean Smith,Dr DY Patil Sports Academy,Mumbai
3,Lucknow Super Giants,Gujarat Titans,158.0,161.0,Gujarat Titans,Field,Titans,5 wickets,Mohammed Shami,Wankhede Stadium,Mumbai
4,Rajasthan Royals,Sunrisers Hyderabad,210.0,149.0,Sunrisers Hyderabad,Field,Royals,61 runs,Sanju Samson,Maharashtra Cricket Association Stadium,Pune
5,Kolkata Knight Riders,Royal Challengers Bangalore,128.0,132.0,Royal Challengers Bangalore,Field,RCB,3 wickets,Wanindu Hasaranga de Silva,Dr DY Patil Sports Academy,Mumbai
6,Chennai Super Kings,Lucknow Super Giants,210.0,211.0,Lucknow Super Giants,Field,Super,6 wickets,Evin Lewis,Brabourne Stadium,Mumbai
7,Punjab Kings,Kolkata Knight Riders,137.0,141.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai
8,Rajasthan Royals,Mumbai Indians,193.0,170.0,Mumbai Indians,Field,Royals,23 runs,Jos Buttler,Dr DY Patil Sports Academy,Mumbai
9,Gujarat Titans,Delhi Capitals,171.0,157.0,Delhi Capitals,Field,Titans,14 runs,Lockie Ferguson,Maharashtra Cricket Association Stadium,Pune
10,Punjab Kings,Chennai Super Kings,180.0,126.0,Chennai Super Kings,Field,Punjab,54 runs,Liam Livingstone,Brabourne Stadium,Mumbai
11,Lucknow Super Giants,Sunrisers Hyderabad,169.0,157.0,Sunrisers Hyderabad,Field,Super,12 runs,Avesh Khan,Dr DY Patil Sports Academy,Mumbai
12,Rajasthan Royals,Royal Challengers Bangalore,169.0,173.0,Royal Challengers Bangalore,Field,RCB,4 wickets,Dinesh Karthik,Wankhede Stadium,Mumbai
13,Mumbai Indians,Kolkata Knight Riders,161.0,162.0,Kolkata Knight Riders,Field,KKR,5 wickets,Pat Cummins,Maharashtra Cricket Association Stadium,Pune
14,Delhi Capitals,Lucknow Super Giants,149.0,155.0,Lucknow Super Giants,Field,Super,6 wickets,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai
15,Punjab Kings,Gujarat Titans,189.0,190.0,Gujarat Titans,Field,Titans,6 wickets,Shubman Gill,Brabourne Stadium,Mumbai
16,Chennai Super Kings,Sunrisers Hyderabad,154.0,155.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Abhishek Sharma,Dr DY Patil Sports Academy,Mumbai
17,Mumbai Indians,Royal Challengers Bangalore,151.0,152.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Anuj Rawat,Maharashtra Cricket Association Stadium,Pune
18,Delhi Capitals,Kolkata Knight Riders,215.0,171.0,Kolkata Knight Riders,Field,Capitals,44 runs,Kuldeep Yadav,Brabourne Stadium,Mumbai
